number,value,datetime_start,datetime_complete,duration,params_l2_regularization,params_learning_rate,params_max_depth,params_max_iter,params_min_samples_leaf,state,alpha
5,0.012170824404595887,2024-10-26 15:30:40.115239,2024-10-26 15:30:40.229193,0 days 00:00:00.113954,0.8503937242401903,0.06718819226241565,4,189,21,COMPLETE,0.3
6,0.012170824404595887,2024-10-26 15:30:40.229542,2024-10-26 15:30:40.327456,0 days 00:00:00.097914,0.5235530565864431,0.06211356426655751,8,829,27,COMPLETE,0.3
7,0.012170824404595887,2024-10-26 15:30:40.327608,2024-10-26 15:30:40.435028,0 days 00:00:00.107420,0.725822718760957,0.055803418611349714,10,106,34,COMPLETE,0.3
8,0.012170824404595887,2024-10-26 15:30:40.435383,2024-10-26 15:30:40.522987,0 days 00:00:00.087604,0.13828618463146514,0.04279929824983854,3,520,34,COMPLETE,0.3
9,0.012170824404595887,2024-10-26 15:30:40.523158,2024-10-26 15:30:40.616339,0 days 00:00:00.093181,0.3757601807107187,0.066202192899315,8,742,6,COMPLETE,0.3
10,0.012170824404595887,2024-10-26 15:30:40.616503,2024-10-26 15:30:40.719132,0 days 00:00:00.102629,0.572029770761908,0.020107086849254826,16,622,1,COMPLETE,0.3
11,0.012170824404595887,2024-10-26 15:30:40.719366,2024-10-26 15:30:40.814253,0 days 00:00:00.094887,0.9959364777353378,0.02317954188583986,13,411,15,COMPLETE,0.3
12,0.012170824404595887,2024-10-26 15:30:40.814404,2024-10-26 15:30:40.912156,0 days 00:00:00.097752,0.7101920085559861,0.09805027114115449,13,365,5,COMPLETE,0.3
13,0.012170824404595887,2024-10-26 15:30:40.912306,2024-10-26 15:30:41.014683,0 days 00:00:00.102377,0.6701519654005162,0.023398133813220874,20,708,15,COMPLETE,0.3
14,0.012170824404595887,2024-10-26 15:30:41.014833,2024-10-26 15:30:41.108108,0 days 00:00:00.093275,0.8155369120869517,0.014665199139342212,10,347,1,COMPLETE,0.3
15,0.012170824404595887,2024-10-26 15:30:41.108392,2024-10-26 15:30:41.220795,0 days 00:00:00.112403,0.37233027141981134,0.031334585088334525,16,514,15,COMPLETE,0.3
16,0.012170824404595887,2024-10-26 15:30:41.220956,2024-10-26 15:30:41.328249,0 days 00:00:00.107293,0.6087472350253543,0.0905622088533927,13,277,9,COMPLETE,0.3
17,0.012170824404595887,2024-10-26 15:30:41.328526,2024-10-26 15:30:41.448256,0 days 00:00:00.119730,0.9505192095238407,0.030234223405783217,7,610,6,COMPLETE,0.3
18,0.012170824404595887,2024-10-26 15:30:41.448443,2024-10-26 15:30:41.554287,0 days 00:00:00.105844,0.4467589834030846,0.016422110523218514,19,915,39,COMPLETE,0.3
19,0.012170824404595887,2024-10-26 15:30:41.554445,2024-10-26 15:30:41.658628,0 days 00:00:00.104183,0.7747312759638566,0.04014308448631414,11,979,18,COMPLETE,0.3
0,0.016227765872794512,2024-10-26 15:30:41.760143,2024-10-26 15:30:41.852451,0 days 00:00:00.092308,0.9810987717140723,0.08255500179289915,19,749,24,COMPLETE,0.4
1,0.016227765872794512,2024-10-26 15:30:41.852605,2024-10-26 15:30:41.940510,0 days 00:00:00.087905,0.29418080751457976,0.07027485078612826,8,136,1,COMPLETE,0.4
2,0.016227765872794512,2024-10-26 15:30:41.940660,2024-10-26 15:30:42.042482,0 days 00:00:00.101822,0.9004253763115281,0.02372576552056017,10,900,8,COMPLETE,0.4
3,0.016227765872794512,2024-10-26 15:30:42.042809,2024-10-26 15:30:42.141115,0 days 00:00:00.098306,0.9203680070902311,0.03487689604736268,7,163,16,COMPLETE,0.4
4,0.016227765872794512,2024-10-26 15:30:42.141271,2024-10-26 15:30:42.236406,0 days 00:00:00.095135,0.32484906196566377,0.03955549419988537,9,447,6,COMPLETE,0.4
5,0.016227765872794512,2024-10-26 15:30:42.236572,2024-10-26 15:30:42.326797,0 days 00:00:00.090225,0.09029273550468764,0.0759177947980418,18,278,1,COMPLETE,0.4
6,0.016227765872794512,2024-10-26 15:30:42.326961,2024-10-26 15:30:42.427555,0 days 00:00:00.100594,0.2850659447488125,0.08527829927906168,11,774,20,COMPLETE,0.4
7,0.016227765872794512,2024-10-26 15:30:42.427854,2024-10-26 15:30:42.520825,0 days 00:00:00.092971,0.5165662456013813,0.062405337091313316,20,905,33,COMPLETE,0.4
8,0.016227765872794512,2024-10-26 15:30:42.521184,2024-10-26 15:30:42.613488,0 days 00:00:00.092304,0.19509681043608118,0.08309691161447097,20,155,30,COMPLETE,0.4
9,0.016227765872794512,2024-10-26 15:30:42.613636,2024-10-26 15:30:42.707667,0 days 00:00:00.094031,0.06808648275927598,0.036872431213962185,13,647,17,COMPLETE,0.4
10,0.016227765872794512,2024-10-26 15:30:42.708039,2024-10-26 15:30:42.813444,0 days 00:00:00.105405,0.6715631341385395,0.011714711900351752,3,530,40,COMPLETE,0.4
11,0.016227765872794512,2024-10-26 15:30:42.813610,2024-10-26 15:30:42.933764,0 days 00:00:00.120154,0.6579389786011498,0.05079231663452948,14,381,26,COMPLETE,0.4
12,0.016227765872794512,2024-10-26 15:30:42.933930,2024-10-26 15:30:43.037126,0 days 00:00:00.103196,0.4455934312622022,0.02256870278924096,16,693,12,COMPLETE,0.4
13,0.016227765872794512,2024-10-26 15:30:43.037289,2024-10-26 15:30:43.161745,0 days 00:00:00.124456,0.7505780271952831,0.05540966600717133,6,744,25,COMPLETE,0.4
14,0.016227765872794512,2024-10-26 15:30:43.162055,2024-10-26 15:30:43.269696,0 days 00:00:00.107641,0.4826828236329318,0.09924017544460695,3,986,1,COMPLETE,0.4
15,0.016227765872794512,2024-10-26 15:30:43.269867,2024-10-26 15:30:43.372282,0 days 00:00:00.102415,0.8037163820368256,0.06532876543369069,7,567,23,COMPLETE,0.4
