number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,alpha
1,0.0028143632201328055,2024-10-16 21:56:38.259643,2024-10-16 21:56:40.000973,0 days 00:00:01.741330,0.5280898825212913,0.08716559719434051,5,50,8.742413755820037,0.5858684094081704,391,242,0.9086751065212934,0.6221817334776982,0.7016776781112157,8,COMPLETE,0.2
2,0.0027681880253567605,2024-10-16 21:56:40.001207,2024-10-16 21:56:44.709243,0 days 00:00:04.708036,0.843344529450212,0.0313015290760508,19,90,5.528267544666965,0.9819262978071724,837,171,0.42448436425729563,0.38388761392167225,0.8162503678733997,3,COMPLETE,0.2
3,0.003046877064540165,2024-10-16 21:56:44.709497,2024-10-16 21:56:46.506275,0 days 00:00:01.796778,0.9965528683064231,0.01789637478086193,9,82,1.4419576656890345,0.8444977545755618,197,133,0.8268612593909029,0.16402073320314403,0.6356403097908037,4,COMPLETE,0.2
4,0.0028088987765346185,2024-10-16 21:56:46.506504,2024-10-16 21:56:51.596227,0 days 00:00:05.089723,0.5674646988421888,0.0180012218051198,5,18,2.376863140016674,0.5271829849484214,922,281,0.5198281853043978,0.5110763146166486,0.7259382070269712,9,COMPLETE,0.2
5,0.0027981384969756043,2024-10-16 21:56:51.596459,2024-10-16 21:56:54.180075,0 days 00:00:02.583616,0.9043442227287501,0.0840236766890555,11,65,1.010389515508755,0.48743044148353076,337,191,0.17488384647753452,0.04029928459481069,0.6511784405370794,5,COMPLETE,0.2
6,0.00284528302068616,2024-10-16 21:56:54.180437,2024-10-16 21:56:56.313923,0 days 00:00:02.133486,0.7367847206934354,0.019907132672708817,4,88,3.6537887097867325,0.8747273064242725,720,65,0.22468056317142127,0.14664615775698364,0.7124477613177826,1,PRUNED,0.2
7,0.002786678614875498,2024-10-16 21:56:56.314077,2024-10-16 21:57:03.109949,0 days 00:00:06.795872,0.844680150289171,0.026451534046253538,12,88,9.972885672886388,0.41459342016127154,873,273,0.5708004625011347,0.8268480707496049,0.9385119681815016,4,COMPLETE,0.2
8,0.0027666104118108663,2024-10-16 21:57:03.110189,2024-10-16 21:57:05.563557,0 days 00:00:02.453368,0.665096608461839,0.04942170804550332,10,78,5.468470048004787,0.4741575766359001,228,160,0.14021809457423096,0.524667160024008,0.7264782439551172,7,COMPLETE,0.2
9,0.0028433270475892673,2024-10-16 21:57:05.563777,2024-10-16 21:57:11.070901,0 days 00:00:05.507124,0.5877219132145795,0.018359433593324103,14,23,0.33804964114665575,0.9503938620287768,680,52,0.7507401956656048,0.225239033132124,0.7146192114608612,9,PRUNED,0.2
10,0.004962844951123449,2024-10-16 21:57:11.071044,2024-10-16 21:57:13.222105,0 days 00:00:02.151061,0.6548133967051523,0.010201861421891653,17,48,7.146775428633457,0.07054575049590839,117,100,0.020977799481708415,0.8875703218170962,0.822505461939212,7,PRUNED,0.2
11,0.002775011019376492,2024-10-16 21:57:13.222311,2024-10-16 21:57:25.455493,0 days 00:00:12.233182,0.8206790633160232,0.04738793530437735,20,69,6.360125264903967,0.23218710856165464,561,158,0.34233759244330697,0.433371003733925,0.8320606000295598,2,COMPLETE,0.2
12,0.0027792906548748672,2024-10-16 21:57:25.455734,2024-10-16 21:57:28.248830,0 days 00:00:02.793096,0.7953140198735948,0.05464194877083663,16,70,5.7352044320586595,0.6871803371671159,503,208,0.006476753576502875,0.7256333572787337,0.5274538917586398,6,COMPLETE,0.2
13,0.0027763262980898176,2024-10-16 21:57:28.249060,2024-10-16 21:57:34.598933,0 days 00:00:06.349873,0.6523413723448415,0.05637381625270112,8,100,3.5191268671012965,0.32681331709081163,750,127,0.234490458390179,0.5079389625905177,0.8340223072704561,3,COMPLETE,0.2
14,0.0028158738616033754,2024-10-16 21:57:34.599187,2024-10-16 21:57:51.496846,0 days 00:00:16.897659,0.9076751766826554,0.03189974789951922,19,35,7.555179104572391,0.19534474864997098,536,168,0.6626897645641708,0.35732176255974124,0.8982546397264,6,PRUNED,0.2
15,0.002798086424502014,2024-10-16 21:57:51.496996,2024-10-16 21:57:57.114986,0 days 00:00:05.617990,0.7712638476403784,0.04040283459943913,14,98,5.127868855981074,0.6528132289706594,985,227,0.4052280959067254,0.6367505662430972,0.800119961027455,1,PRUNED,0.2
16,0.0027579801178258256,2024-10-16 21:57:57.115183,2024-10-16 21:58:02.338120,0 days 00:00:05.222937,0.8688460666698498,0.06653103467041631,9,76,3.799021878121647,0.38772853360613957,795,93,0.3041345269537179,0.990304983635981,0.5625939719553856,10,COMPLETE,0.2
17,0.0028192418068289245,2024-10-16 21:58:02.338348,2024-10-16 21:58:05.762305,0 days 00:00:03.423957,0.9612872342303966,0.06859250006090864,8,60,3.673259855049133,0.37031656719816136,649,23,0.136835877225654,0.9790731245859714,0.5158908602369295,10,PRUNED,0.2
18,0.0027788401240300123,2024-10-16 21:58:05.762479,2024-10-16 21:58:08.279306,0 days 00:00:02.516827,0.691093295936532,0.0713173827009249,10,75,2.439359746603418,0.028199759125359325,219,88,0.3107027839090254,0.7889467641887377,0.5825955734557962,10,COMPLETE,0.2
19,0.002948267337743477,2024-10-16 21:58:08.279537,2024-10-16 21:58:11.671760,0 days 00:00:03.392223,0.894299676812715,0.09842196136922822,7,39,4.333449194157049,0.24438986068089974,462,125,0.08343066102320323,0.6358897774010916,0.5829380325316139,7,PRUNED,0.2
0,0.003446231430742116,2024-10-16 21:58:16.735105,2024-10-16 21:58:24.907683,0 days 00:00:08.172578,0.6576204829822856,0.02693656679912372,13,30,8.129206240082343,0.7392337936659198,788,185,0.880846416437356,0.18386158411607934,0.5445869344446119,10,COMPLETE,0.3
1,0.003502015525300872,2024-10-16 21:58:24.908013,2024-10-16 21:59:01.373809,0 days 00:00:36.465796,0.5303250908782629,0.04862488671873674,18,46,8.034045057487242,0.028962175407137747,890,239,0.7886981193359011,0.8074595753435848,0.9877558601610152,8,COMPLETE,0.3
2,0.0035659529420149524,2024-10-16 21:59:01.374156,2024-10-16 21:59:07.828982,0 days 00:00:06.454826,0.5677051407486968,0.09730119763818358,7,54,3.997702571409429,0.12694805091687866,666,206,0.8555049689103851,0.17721874073332633,0.9417706732946977,9,COMPLETE,0.3
3,0.003435160001835583,2024-10-16 21:59:07.829220,2024-10-16 21:59:13.492121,0 days 00:00:05.662901,0.5429346836343661,0.03598851128851425,14,76,4.572523190058293,0.44811625445835634,284,264,0.11096236444960483,0.4640205412372238,0.8760159650712387,1,COMPLETE,0.3
4,0.0034429796481506673,2024-10-16 21:59:13.493412,2024-10-16 21:59:26.309694,0 days 00:00:12.816282,0.7121807692454755,0.018238197873659608,9,12,3.108876444300106,0.18299591205032373,639,108,0.952722981279405,0.18573837938020532,0.5582079186447788,6,COMPLETE,0.3
5,0.0035266816890288603,2024-10-16 21:59:26.309935,2024-10-16 21:59:28.220339,0 days 00:00:01.910404,0.7556437681208479,0.020528033792289353,4,100,2.435493443983175,0.7638895760819528,591,29,0.43698257100848226,0.20776717001931733,0.7946740260912644,6,PRUNED,0.3
6,0.003471568743428214,2024-10-16 21:59:28.220516,2024-10-16 21:59:34.300551,0 days 00:00:06.080035,0.8077772670806949,0.026773682295727425,8,52,6.162112900364417,0.7887140371103457,815,269,0.4898866540323471,0.5240829296570825,0.9494586162722214,9,PRUNED,0.3
7,0.003529770366391845,2024-10-16 21:59:34.300713,2024-10-16 21:59:38.523213,0 days 00:00:04.222500,0.6610396917232824,0.026943234189231623,10,28,7.392014650954,0.45158561703977984,190,130,0.016749538545258846,0.8897032382959604,0.8680701447218007,10,PRUNED,0.3
8,0.0034384805729361827,2024-10-16 21:59:38.523368,2024-10-16 21:59:39.588142,0 days 00:00:01.064774,0.9454946888123776,0.028915312645124522,6,85,5.678115299918702,0.8076340800107761,235,22,0.4455034217228957,0.8975650892303781,0.6111094189037649,7,COMPLETE,0.3
9,0.0035138559976102077,2024-10-16 21:59:39.588390,2024-10-16 21:59:48.851959,0 days 00:00:09.263569,0.5627755215387342,0.010934533190912832,11,50,0.9229849641379714,0.34178798080856254,408,125,0.189241404424493,0.12068055101167718,0.8814710781109854,3,PRUNED,0.3
10,0.0034355338642495835,2024-10-16 21:59:48.852117,2024-10-16 21:59:51.144646,0 days 00:00:02.292529,0.9071177504292692,0.05566172557523425,16,75,9.787529928204336,0.9960722669847251,390,291,0.2067379920677352,0.4777372624268611,0.699632703661013,1,COMPLETE,0.3
11,0.003422696503446582,2024-10-16 21:59:51.144887,2024-10-16 21:59:53.409264,0 days 00:00:02.264377,0.9998224728559673,0.057753395265237276,16,76,9.751074528558766,0.997282522147843,390,293,0.18938289958310256,0.49948809299404656,0.6941470852519501,1,COMPLETE,0.3
12,0.0034476331104844556,2024-10-16 21:59:53.409500,2024-10-16 21:59:57.551318,0 days 00:00:04.141818,0.9958523014754403,0.05837562554335472,14,73,9.96311716750768,0.5493448363446655,385,246,0.00032715546309386445,0.49048840518287545,0.7139408382564918,1,PRUNED,0.3
13,0.0034571899553020803,2024-10-16 21:59:57.551478,2024-10-16 22:00:00.478540,0 days 00:00:02.927062,0.8544503279622315,0.042222527883014546,20,69,4.649249552562582,0.5785698018977792,117,292,0.2704961509229818,0.636439713719222,0.7881897731411438,3,PRUNED,0.3
14,0.003438898417451972,2024-10-16 22:00:00.478701,2024-10-16 22:00:06.058653,0 days 00:00:05.579952,0.6475609985840499,0.0816631693557478,16,94,0.5154710334630908,0.31588992415139655,320,217,0.27193393353199047,0.34422170368461147,0.6436584206308366,3,COMPLETE,0.3
15,0.0035099615568475575,2024-10-16 22:00:06.058886,2024-10-16 22:00:10.945595,0 days 00:00:04.886709,0.5036888687623862,0.03989894604481432,14,67,6.897080973246876,0.993764956676955,518,259,0.1378847656718145,0.6569503869669624,0.8408293615058916,4,PRUNED,0.3
16,0.003457693282888737,2024-10-16 22:00:10.945751,2024-10-16 22:00:14.223748,0 days 00:00:03.277997,0.8332475438587937,0.0682044971704023,17,86,2.2350267865802693,0.6591354778961118,508,170,0.6577013227537161,0.6853505413437027,0.7453454010065819,1,PRUNED,0.3
17,0.0034333646842606624,2024-10-16 22:00:14.223923,2024-10-16 22:00:19.164501,0 days 00:00:04.940578,0.7545702566540516,0.03549291656537137,19,64,4.562777093615968,0.4273605214187215,301,83,0.37108946799428855,0.0031105946716329935,0.6436168608745285,2,COMPLETE,0.3
18,0.0042163840606258465,2024-10-16 22:00:19.164789,2024-10-16 22:00:20.825922,0 days 00:00:01.661133,0.9050544009752115,0.018452524851084583,20,63,8.792771115489431,0.31820846430034905,129,69,0.3508154192788856,0.044279528840790755,0.5002017389138881,4,PRUNED,0.3
19,0.003501503775098707,2024-10-16 22:00:20.826073,2024-10-16 22:00:24.246838,0 days 00:00:03.420765,0.9943138194846532,0.07277055445904615,18,40,5.594672801025873,0.6657190010613592,489,75,0.6467176568542243,0.3205979313667836,0.6462774661963245,2,PRUNED,0.3
0,0.0038941717480766302,2024-10-16 22:00:26.405344,2024-10-16 22:00:36.331988,0 days 00:00:09.926644,0.7861542304650713,0.045365777610497066,9,42,7.719316786041131,0.5742527614728763,852,221,0.05047892048193603,0.08589058301385954,0.6658267591084129,4,COMPLETE,0.4
1,0.00398563355189055,2024-10-16 22:00:36.334290,2024-10-16 22:01:15.296913,0 days 00:00:38.962623,0.5450379664601126,0.050570899712482936,19,9,7.069066302698613,0.28245105287116357,742,277,0.2562340901282658,0.867337686482251,0.8699061222088154,7,COMPLETE,0.4
