number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state,alpha
16,6.092599137120714,2024-10-12 21:32:43.600427,2024-10-12 21:32:54.346289,0 days 00:00:10.745862,0.9989148247012483,0.02939651950625534,17,64,877,148,0.7556856278592515,0.24593147549112404,0.646847183890791,COMPLETE,0.2
17,7.0687686072504246,2024-10-12 21:32:54.346468,2024-10-12 21:32:55.173895,0 days 00:00:00.827427,0.8957975487741412,0.07098676192435263,13,20,102,64,0.3661954227319275,0.511396802356775,0.9747413713068849,PRUNED,0.2
18,6.296836350745135,2024-10-12 21:32:55.174025,2024-10-12 21:33:04.494369,0 days 00:00:09.320344,0.8025156693431358,0.0369944846931055,10,38,865,241,0.886906319150337,0.9660333490448194,0.7345648646278515,PRUNED,0.2
19,5.97065526797056,2024-10-12 21:33:04.494487,2024-10-12 21:33:17.006957,0 days 00:00:12.512470,0.9313977253894908,0.06400515038463768,15,52,990,156,0.8787441452884145,0.2338586520697974,0.6664396747562926,COMPLETE,0.2
0,7.938178893423297,2024-10-12 21:33:30.694273,2024-10-12 21:33:38.580491,0 days 00:00:07.886218,0.8892123763281021,0.019321598654507374,15,75,789,97,0.35840491787337947,0.2625124754643333,0.814007986029122,COMPLETE,0.3
1,8.825292016384198,2024-10-12 21:33:38.580666,2024-10-12 21:33:42.059597,0 days 00:00:03.478931,0.6658280650710788,0.026194896606811773,6,64,812,281,0.7277480280318982,0.5347264943099662,0.6243030368391703,COMPLETE,0.3
2,7.964239848302428,2024-10-12 21:33:42.059787,2024-10-12 21:33:44.701035,0 days 00:00:02.641248,0.9348448467180728,0.07437399499991991,11,95,415,270,0.366174231986673,0.9512143773681773,0.7495187666066043,COMPLETE,0.3
3,8.771028061699626,2024-10-12 21:33:44.701214,2024-10-12 21:33:47.326317,0 days 00:00:02.625103,0.7077218885071284,0.07172202332536343,5,87,918,257,0.7787600614284759,0.06350877702990054,0.5884833979734561,COMPLETE,0.3
4,7.9918737410924265,2024-10-12 21:33:47.326491,2024-10-12 21:33:56.561423,0 days 00:00:09.234932,0.606899502280831,0.02126300373134352,12,92,948,207,0.5038752451354112,0.9567668059124516,0.8772413109920429,COMPLETE,0.3
5,9.923591262579832,2024-10-12 21:33:56.561603,2024-10-12 21:33:57.775104,0 days 00:00:01.213501,0.5903591584886592,0.012143256446504007,5,24,366,176,0.897792549660543,0.3324289509970806,0.971928027809357,PRUNED,0.3
6,9.742513880924857,2024-10-12 21:33:57.775224,2024-10-12 21:33:59.510211,0 days 00:00:01.734987,0.5311950824951964,0.02711432297620945,4,22,811,29,0.09485903180867361,0.31075885555381744,0.9812502436237958,PRUNED,0.3
7,10.11981331210343,2024-10-12 21:33:59.510331,2024-10-12 21:34:00.235916,0 days 00:00:00.725585,0.942338611361553,0.012973332831989114,4,31,364,30,0.6867529645004742,0.08247333923980638,0.7636550105529021,PRUNED,0.3
8,10.161543863445026,2024-10-12 21:34:00.236034,2024-10-12 21:34:01.068178,0 days 00:00:00.832144,0.8779146670809537,0.036809157410770205,3,43,529,81,0.03364664507124682,0.22982945717610315,0.5976978579548919,PRUNED,0.3
9,6.933793570757397,2024-10-12 21:34:01.068300,2024-10-12 21:34:17.530848,0 days 00:00:16.462548,0.8970197081858321,0.09116633148380238,19,8,589,242,0.7328634343417388,0.39458728320659797,0.9936984440177083,COMPLETE,0.3
10,7.541802480526936,2024-10-12 21:34:17.531027,2024-10-12 21:34:22.285443,0 days 00:00:04.754416,0.8024760850900062,0.048109507080433433,20,7,196,218,0.9886636308086434,0.6582628637720809,0.8934243312573962,COMPLETE,0.3
11,7.528143339884361,2024-10-12 21:34:22.285621,2024-10-12 21:34:24.930780,0 days 00:00:02.645159,0.7838767553426533,0.09906566831038319,20,12,114,225,0.9999282464500104,0.6383395232782224,0.907435768195374,COMPLETE,0.3
12,7.59547046524937,2024-10-12 21:34:24.930962,2024-10-12 21:34:28.319594,0 days 00:00:03.388632,0.7984133355484989,0.05369777286406948,19,7,143,222,0.8528363792746502,0.6859853420615772,0.915550675340685,COMPLETE,0.3
13,7.029470251183861,2024-10-12 21:34:28.319784,2024-10-12 21:34:37.426656,0 days 00:00:09.106872,0.9934014737204719,0.09527493872338844,17,39,619,152,0.5926906174003479,0.4786967232289775,0.9614988802660351,COMPLETE,0.3
14,7.179724392333382,2024-10-12 21:34:37.426836,2024-10-12 21:34:44.593553,0 days 00:00:07.166717,0.9983478088456346,0.09882439565785939,16,46,649,140,0.560065501568736,0.4464479505808745,0.9913326418733448,COMPLETE,0.3
15,7.326510336863933,2024-10-12 21:34:44.593728,2024-10-12 21:34:51.581797,0 days 00:00:06.988069,0.9971330680055003,0.06538203706636504,16,59,632,150,0.6116423461083307,0.4633081768717169,0.5164172895849439,COMPLETE,0.3
16,7.67240256730154,2024-10-12 21:34:51.581980,2024-10-12 21:34:58.280657,0 days 00:00:06.698677,0.8613583862832943,0.041246425950061213,18,36,525,113,0.3489508912880867,0.7408987709342862,0.8249590128015545,PRUNED,0.3
17,7.270533412018538,2024-10-12 21:34:58.280787,2024-10-12 21:35:08.181654,0 days 00:00:09.900867,0.9386386293239853,0.0754904200734626,13,20,666,189,0.19283272919524863,0.8044622757618778,0.7059626902421894,COMPLETE,0.3
18,8.154834816074116,2024-10-12 21:35:08.181873,2024-10-12 21:35:11.429287,0 days 00:00:03.247414,0.8405773972383901,0.056976120041777746,9,53,420,294,0.6158600263602982,0.5214996218214699,0.9317550604410608,PRUNED,0.3
19,7.3672478061598525,2024-10-12 21:35:11.429426,2024-10-12 21:35:20.077409,0 days 00:00:08.647983,0.7299712557482025,0.09997492271141474,17,71,723,125,0.44680742909951354,0.18138710062599894,0.8535169725948536,COMPLETE,0.3
0,8.622028589528156,2024-10-12 21:35:36.092493,2024-10-12 21:35:50.241323,0 days 00:00:14.148830,0.9045488319548216,0.010052770808879131,19,59,882,165,0.716912196739625,0.6828337043268233,0.7699704901729261,COMPLETE,0.4
1,10.986365580646805,2024-10-12 21:35:50.241498,2024-10-12 21:35:51.393356,0 days 00:00:01.151858,0.776388705914228,0.035721199246752995,3,31,773,57,0.5890823825017857,0.8183845488898664,0.9268987302342562,COMPLETE,0.4
2,10.302881519857708,2024-10-12 21:35:51.394468,2024-10-12 21:35:51.938072,0 days 00:00:00.543604,0.8297851149292577,0.04111770313436238,6,78,139,118,0.9341264582517997,0.8979834437851001,0.7331040315120805,COMPLETE,0.4
3,8.445116292775602,2024-10-12 21:35:51.938245,2024-10-12 21:36:00.843509,0 days 00:00:08.905264,0.6012483100391766,0.03537637954324239,18,55,547,164,0.09155906815068271,0.7666928216836255,0.7621681937548914,COMPLETE,0.4
4,9.833131324697469,2024-10-12 21:36:00.843691,2024-10-12 21:36:03.394827,0 days 00:00:02.551136,0.5586536117867041,0.09123243269664222,5,33,731,69,0.978364693054806,0.11831842020622707,0.9537708393280457,COMPLETE,0.4
5,12.225348129122676,2024-10-12 21:36:03.394998,2024-10-12 21:36:04.688912,0 days 00:00:01.293914,0.798758521127426,0.018163385428697457,14,41,135,89,0.49018900664011045,0.6113881748453545,0.9475314886929009,PRUNED,0.4
6,8.573446139423014,2024-10-12 21:36:04.689032,2024-10-12 21:36:13.305231,0 days 00:00:08.616199,0.6448514739060359,0.031685654151998775,17,88,656,220,0.5623023187640263,0.942872477244607,0.8544158431171156,COMPLETE,0.4
7,7.829716596690415,2024-10-12 21:36:13.305411,2024-10-12 21:36:26.816108,0 days 00:00:13.510697,0.9449853962583161,0.04636000634560273,20,8,621,194,0.33236941829862,0.3443872533004466,0.7874198203601308,COMPLETE,0.4
8,10.422624681247274,2024-10-12 21:36:26.816287,2024-10-12 21:36:28.687855,0 days 00:00:01.871568,0.9010430380688014,0.013420332309289794,5,33,638,174,0.6201497793402411,0.637203079023341,0.8537140096882765,PRUNED,0.4
9,8.52188729832849,2024-10-12 21:36:28.687978,2024-10-12 21:36:37.131685,0 days 00:00:08.443707,0.6788185428457691,0.02802931765606217,16,68,634,181,0.6108293231050094,0.2670687875281177,0.7060938254430652,COMPLETE,0.4
10,8.304236931412516,2024-10-12 21:36:37.131864,2024-10-12 21:36:42.666953,0 days 00:00:05.535089,0.9844173323480756,0.06751444259480831,10,9,403,279,0.21558525535137135,0.3129633187615692,0.5439660820608259,COMPLETE,0.4
11,8.419685903020243,2024-10-12 21:36:42.667129,2024-10-12 21:36:48.636027,0 days 00:00:05.968898,0.9904394102881018,0.06745741895319068,10,8,401,298,0.21967927883706706,0.3836427720496462,0.5000466021939947,COMPLETE,0.4
12,8.658397152872253,2024-10-12 21:36:48.636204,2024-10-12 21:36:53.847789,0 days 00:00:05.211585,0.9966697177699991,0.056767974062135886,10,7,350,284,0.3225725499282877,0.4020340035977322,0.5752409147597373,PRUNED,0.4
13,8.126802926677511,2024-10-12 21:36:53.847907,2024-10-12 21:37:02.469189,0 days 00:00:08.621282,0.902239669043727,0.059561302348322936,13,19,428,236,0.009767551490972914,0.09444195433447455,0.6410293883719711,COMPLETE,0.4
14,7.891696038746645,2024-10-12 21:37:02.469363,2024-10-12 21:37:23.012034,0 days 00:00:20.542671,0.8867646128547344,0.04875124789588304,14,21,976,230,0.041827950051853025,0.026612038254529763,0.6283505442723957,COMPLETE,0.4
15,7.820451313388648,2024-10-12 21:37:23.012225,2024-10-12 21:37:45.865266,0 days 00:00:22.853041,0.8543012978737345,0.023673974311671828,20,22,960,220,0.37515255094052846,0.04204136102137132,0.6319375820074091,COMPLETE,0.4
16,8.508659302234253,2024-10-12 21:37:45.865449,2024-10-12 21:37:59.630966,0 days 00:00:13.765517,0.7211898903406156,0.02259627552242221,20,19,995,118,0.3850242253915213,0.20417986149678957,0.6674910071969236,PRUNED,0.4
17,8.115239541185561,2024-10-12 21:37:59.631098,2024-10-12 21:38:16.243030,0 days 00:00:16.611932,0.8538858065731568,0.02292393447478416,20,44,858,202,0.4235117306773291,0.49757900685993006,0.8355871331709629,COMPLETE,0.4
18,10.399185973695129,2024-10-12 21:38:16.243234,2024-10-12 21:38:17.240371,0 days 00:00:00.997137,0.9345429905388944,0.0176292221220801,16,22,263,24,0.22564177975273342,0.20724751918192408,0.8056715997089137,PRUNED,0.4
19,7.860332301360107,2024-10-12 21:38:17.240497,2024-10-12 21:38:27.350998,0 days 00:00:10.110501,0.7357222644214865,0.09740294805363262,18,43,545,249,0.798818889291477,0.5060920657541543,0.6968164441546612,COMPLETE,0.4
0,9.028517085938834,2024-10-12 21:38:49.960381,2024-10-12 21:38:54.786577,0 days 00:00:04.826196,0.7086812771021749,0.09779974772525753,9,59,729,292,0.5656086671714664,0.9696450712146146,0.6716721766548639,COMPLETE,0.5
1,16.286805998985066,2024-10-12 21:38:54.786752,2024-10-12 21:38:55.531945,0 days 00:00:00.745193,0.5976680234084852,0.013292078728469542,7,52,128,145,0.7560238005492335,0.2998873955700265,0.877137514593874,COMPLETE,0.5
