number,value,datetime_start,datetime_complete,duration,params_alpha_1,params_alpha_2,params_colsample_bytree,params_lambda_1,params_lambda_2,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,quantile
12,0.0035268073039856533,2024-10-17 23:38:51.157594,2024-10-17 23:39:09.822586,0 days 00:00:18.664992,0.08120407767609335,3.959902214493742e-06,0.7756766071182748,8.788181992582882e-05,0.0730077607704626,0.05205338140664781,16,27,4.3967889623944405,0.21825943825779323,697,132,0.6015456790587248,0.43797210468257103,0.8937135700020461,3,COMPLETE,0.5
13,0.003778789749423035,2024-10-17 23:39:09.822882,2024-10-17 23:39:19.216718,0 days 00:00:09.393836,0.09308784137579708,5.560451953628045e-06,0.7916168316675396,0.0001508794882280359,0.008119131471937194,0.09346391548197762,20,19,7.600088872832696,0.5650465710503951,995,228,0.589310183712371,0.4543237045833799,0.9385667037798306,2,COMPLETE,0.5
14,0.003508861576332259,2024-10-17 23:39:19.217030,2024-10-17 23:39:33.630460,0 days 00:00:14.413430,8.560887850892713e-05,4.550895796942981e-06,0.9786558004993011,0.00753619234346201,1.2167183716015704e-06,0.05384077289373549,17,22,4.632744735777209,0.24495230520675018,526,137,0.272242322868611,0.53851576210148,0.8309354142048309,7,COMPLETE,0.5
15,0.0038817581879440092,2024-10-17 23:39:33.630760,2024-10-17 23:39:41.964805,0 days 00:00:08.334045,7.918947632113683e-05,9.468264802168775e-06,0.9609166564928255,0.014217500036416612,2.8789410825938885e-06,0.029647402387589308,17,49,6.798884059115924,0.3385583275529409,323,142,0.2584301052274493,0.5631280193777046,0.7993744698641019,7,COMPLETE,0.5
16,0.003459735965090528,2024-10-17 23:39:41.965729,2024-10-17 23:40:01.846242,0 days 00:00:19.880513,1.9278717096008808e-05,1.042649364895813e-06,0.9490469887348596,0.004313376847210586,1.3073289221205386e-06,0.06408262245979324,18,19,9.366308838611449,0.1705336067974761,503,214,0.2541337026849245,0.573445063320654,0.5520965137258627,8,COMPLETE,0.5
17,0.0038750719518046836,2024-10-17 23:40:01.846547,2024-10-17 23:40:08.358146,0 days 00:00:06.511599,2.0885314619190364e-05,1.0084463912704527e-06,0.8337408080056053,0.0867575136314265,0.00026847876954220605,0.06685111770358684,14,10,9.66962309492855,0.6898475068167934,405,217,0.2623436751809589,0.8347667067009059,0.5650243197106037,8,COMPLETE,0.5
18,0.004023930869944379,2024-10-17 23:40:08.358477,2024-10-17 23:40:14.594681,0 days 00:00:06.236204,5.56745644429448e-06,0.001648550948883438,0.9186272048208569,0.0015177682026962956,3.5057730415268064e-05,0.036802604097329245,19,49,9.840035198966874,0.15754275455838684,193,271,0.18804395004467578,0.3549583813399282,0.5275402751024343,9,COMPLETE,0.5
19,0.003325308243703873,2024-10-17 23:40:14.594981,2024-10-17 23:40:50.322717,0 days 00:00:35.727736,1.3977611347127e-06,4.875027898675669e-05,0.9185907905992392,0.02127638170042483,0.0009320615525883813,0.09750008361030302,18,5,8.504180324518263,0.13945696922297618,810,206,0.40280134645781246,0.0637325135461323,0.5901400937969483,8,COMPLETE,0.5
0,0.005067585162084741,2024-10-17 23:44:52.759065,2024-10-17 23:44:53.229248,0 days 00:00:00.470183,1.1510275580583518e-05,0.07948739826070944,0.7420380987637241,0.0018006042997675508,0.02609698201953212,0.08258805081446931,3,27,1.4773406877671165,0.24273469908132428,213,20,0.3944047390504285,0.3181209476812281,0.5564416879807768,2,COMPLETE,0.6
1,0.004844532161624895,2024-10-17 23:44:53.229564,2024-10-17 23:44:54.702430,0 days 00:00:01.472866,0.004919842427994076,0.05637344009113101,0.9118548845569805,0.007976767195686164,1.507295082321757e-05,0.039325704140531346,4,69,4.158752641079205,0.5649727587540494,434,143,0.47403630342187486,0.8686198378630148,0.9967589894048089,6,COMPLETE,0.6
