number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state,alpha
13,0.002849912918374283,2024-10-26 15:53:31.805033,2024-10-26 15:53:34.021055,0 days 00:00:02.216022,0.8309781825679892,0.07048268436608351,5,299,9.982971605749126,7.252927994106013,0.8885025843290721,PRUNED,0.2
14,0.0025797783531567435,2024-10-26 15:53:34.021181,2024-10-26 15:53:36.304538,0 days 00:00:02.283357,0.8888149465960062,0.060106370052319766,4,294,4.343115764682974,4.541700017327118,0.9959287631056453,COMPLETE,0.2
15,0.002892239363066478,2024-10-26 15:53:36.304708,2024-10-26 15:53:39.039898,0 days 00:00:02.735190,0.854455809307765,0.060346202656654205,5,381,4.874244416855528,4.347648201626982,0.7169039730621884,PRUNED,0.2
16,0.0026654905949575636,2024-10-26 15:53:39.040130,2024-10-26 15:53:41.072505,0 days 00:00:02.032375,0.6697395108064297,0.06163855457134314,4,271,1.5977926880463036,7.391968450137411,0.8829526413834943,COMPLETE,0.2
17,0.0032586542534531145,2024-10-26 15:53:41.072674,2024-10-26 15:53:43.702552,0 days 00:00:02.629878,0.8748056684208642,0.08588845260614784,5,470,5.490265294507888,0.31442901012985747,0.26470952825564475,PRUNED,0.2
18,0.0026222969839964595,2024-10-26 15:53:43.702676,2024-10-26 15:53:45.409393,0 days 00:00:01.706717,0.6096463962192948,0.04955897599742902,4,257,4.420443312227974,4.633466374998236,0.7232973671225205,COMPLETE,0.2
19,0.0033660603046584245,2024-10-26 15:53:45.409603,2024-10-26 15:53:50.606602,0 days 00:00:05.196999,0.8954158836527932,0.08480197414489458,6,796,7.019047772506349,2.867386459223458,0.4288428954933968,PRUNED,0.2
0,0.0042754738101725975,2024-10-26 15:53:53.139069,2024-10-26 15:53:58.230231,0 days 00:00:05.091162,0.8740839089334339,0.08050474848901185,6,737,7.342208785879521,5.553567884970474,0.669151337572525,COMPLETE,0.3
1,0.004190212013043656,2024-10-26 15:53:58.230406,2024-10-26 15:53:58.995898,0 days 00:00:00.765492,0.268794099105046,0.08452713608329869,3,138,0.786245783091311,3.6049303090365235,0.5384075131586538,COMPLETE,0.3
2,0.003716773712441629,2024-10-26 15:53:58.996085,2024-10-26 15:54:04.418551,0 days 00:00:05.422466,0.36185668102084523,0.018452029523395794,4,878,6.141388766156708,3.1262348183066364,0.6271094614516479,COMPLETE,0.3
