number,value,datetime_start,datetime_complete,duration,params_l2_regularization,params_learning_rate,params_max_depth,params_max_iter,params_min_samples_leaf,state,alpha
16,0.0066333883147061115,2024-10-26 15:51:15.661007,2024-10-26 15:51:15.782890,0 days 00:00:00.121883,0.24741006127680687,0.027505606159328257,13,869,8,COMPLETE,0.2
17,0.0066333883147061115,2024-10-26 15:51:15.783190,2024-10-26 15:51:15.901879,0 days 00:00:00.118689,0.794432955050248,0.015272584035365347,9,542,23,COMPLETE,0.2
18,0.0066333883147061115,2024-10-26 15:51:15.902067,2024-10-26 15:51:16.024570,0 days 00:00:00.122503,0.5570462604836838,0.04139164923133479,6,745,5,COMPLETE,0.2
19,0.0066333883147061115,2024-10-26 15:51:16.024724,2024-10-26 15:51:16.170784,0 days 00:00:00.146060,0.9642338721550564,0.0683097314004073,15,894,11,COMPLETE,0.2
0,0.009950082472059165,2024-10-26 15:51:16.277584,2024-10-26 15:51:16.380365,0 days 00:00:00.102781,0.8278122510461812,0.03382685920569754,19,347,4,COMPLETE,0.3
1,0.009950082472059165,2024-10-26 15:51:16.380592,2024-10-26 15:51:16.482152,0 days 00:00:00.101560,0.35616896539637255,0.022583924891507227,13,995,35,COMPLETE,0.3
2,0.009950082472059165,2024-10-26 15:51:16.482353,2024-10-26 15:51:16.638285,0 days 00:00:00.155932,0.6997929891806071,0.08588010233489499,3,385,22,COMPLETE,0.3
3,0.009950082472059165,2024-10-26 15:51:16.638443,2024-10-26 15:51:16.808486,0 days 00:00:00.170043,0.5173153400712914,0.06859852742088685,12,573,37,COMPLETE,0.3
4,0.009950082472059165,2024-10-26 15:51:16.808636,2024-10-26 15:51:16.928827,0 days 00:00:00.120191,0.25665917944158756,0.03217465244137531,19,483,40,COMPLETE,0.3
5,0.009950082472059165,2024-10-26 15:51:16.928980,2024-10-26 15:51:17.042075,0 days 00:00:00.113095,0.5192867407543439,0.04099518443007284,15,679,39,COMPLETE,0.3
6,0.009950082472059165,2024-10-26 15:51:17.042459,2024-10-26 15:51:17.145850,0 days 00:00:00.103391,0.47428915184175013,0.027770365179556302,5,616,29,COMPLETE,0.3
7,0.009950082472059165,2024-10-26 15:51:17.146041,2024-10-26 15:51:17.248585,0 days 00:00:00.102544,0.7853027283798594,0.025684278821932943,6,494,10,COMPLETE,0.3
8,0.009950082472059165,2024-10-26 15:51:17.248955,2024-10-26 15:51:17.355064,0 days 00:00:00.106109,0.5175787342544483,0.039539828885620534,18,305,14,COMPLETE,0.3
9,0.009950082472059165,2024-10-26 15:51:17.355230,2024-10-26 15:51:17.460621,0 days 00:00:00.105391,0.8736662235713051,0.01131527152632251,14,169,23,COMPLETE,0.3
10,0.009950082472059165,2024-10-26 15:51:17.460863,2024-10-26 15:51:17.571384,0 days 00:00:00.110521,0.9891112075070867,0.013990260445219666,9,788,2,COMPLETE,0.3
11,0.009950082472059165,2024-10-26 15:51:17.571699,2024-10-26 15:51:17.679666,0 days 00:00:00.107967,0.0813570588180379,0.01952804858533843,20,937,3,COMPLETE,0.3
12,0.009950082472059165,2024-10-26 15:51:17.679823,2024-10-26 15:51:17.793754,0 days 00:00:00.113931,0.3101213314073227,0.018035880380639628,16,992,32,COMPLETE,0.3
13,0.009950082472059165,2024-10-26 15:51:17.793918,2024-10-26 15:51:17.905698,0 days 00:00:00.111780,0.30708578675669473,0.05453954717428692,10,102,15,COMPLETE,0.3
14,0.009950082472059165,2024-10-26 15:51:17.905870,2024-10-26 15:51:18.025979,0 days 00:00:00.120109,0.6739602855914322,0.02085138232699701,17,289,29,COMPLETE,0.3
15,0.009950082472059165,2024-10-26 15:51:18.026130,2024-10-26 15:51:18.143245,0 days 00:00:00.117115,0.00026932202518614723,0.046417769529702224,13,826,9,COMPLETE,0.3
16,0.009950082472059165,2024-10-26 15:51:18.143626,2024-10-26 15:51:18.258088,0 days 00:00:00.114462,0.17121670856615645,0.030639524144616202,10,739,17,COMPLETE,0.3
17,0.009950082472059165,2024-10-26 15:51:18.258336,2024-10-26 15:51:18.365992,0 days 00:00:00.107656,0.638599901937663,0.015255290506061414,8,388,26,COMPLETE,0.3
18,0.009950082472059165,2024-10-26 15:51:18.366171,2024-10-26 15:51:18.477133,0 days 00:00:00.110962,0.4093402049843251,0.024610127972338972,20,879,8,COMPLETE,0.3
19,0.009950082472059165,2024-10-26 15:51:18.477310,2024-10-26 15:51:18.591312,0 days 00:00:00.114002,0.9823316554747018,0.010186156669651987,16,297,36,COMPLETE,0.3
0,0.013266776629412223,2024-10-26 15:51:18.695569,2024-10-26 15:51:18.800144,0 days 00:00:00.104575,0.978694771221715,0.0182850655231904,8,314,21,COMPLETE,0.4
1,0.013266776629412223,2024-10-26 15:51:18.800301,2024-10-26 15:51:18.903419,0 days 00:00:00.103118,0.9265670548064145,0.042097685386397646,7,148,17,COMPLETE,0.4
2,0.013266776629412223,2024-10-26 15:51:18.903607,2024-10-26 15:51:19.022342,0 days 00:00:00.118735,0.632875763967652,0.03143191750874753,19,315,7,COMPLETE,0.4
3,0.013266776629412223,2024-10-26 15:51:19.022604,2024-10-26 15:51:19.134563,0 days 00:00:00.111959,0.5687038469964855,0.02101505935914411,4,622,5,COMPLETE,0.4
4,0.013266776629412223,2024-10-26 15:51:19.134712,2024-10-26 15:51:19.240963,0 days 00:00:00.106251,0.38639347236183164,0.09303303652811752,3,216,38,COMPLETE,0.4
5,0.013266776629412223,2024-10-26 15:51:19.241118,2024-10-26 15:51:19.349113,0 days 00:00:00.107995,0.7168858262853407,0.029992076495481374,15,628,9,COMPLETE,0.4
6,0.013266776629412223,2024-10-26 15:51:19.349263,2024-10-26 15:51:19.469488,0 days 00:00:00.120225,0.4232333627355904,0.014102978714826957,7,104,6,COMPLETE,0.4
7,0.013266776629412223,2024-10-26 15:51:19.469645,2024-10-26 15:51:19.588555,0 days 00:00:00.118910,0.655391950708386,0.042426101875795166,10,783,18,COMPLETE,0.4
8,0.013266776629412223,2024-10-26 15:51:19.588702,2024-10-26 15:51:19.690736,0 days 00:00:00.102034,0.3418467240060866,0.014374272943554497,17,213,39,COMPLETE,0.4
9,0.013266776629412223,2024-10-26 15:51:19.690885,2024-10-26 15:51:19.793057,0 days 00:00:00.102172,0.40885113858446775,0.07106648711276595,20,682,15,COMPLETE,0.4
10,0.013266776629412223,2024-10-26 15:51:19.793203,2024-10-26 15:51:19.901943,0 days 00:00:00.108740,0.07361917099387605,0.010094066233584933,13,972,27,COMPLETE,0.4
11,0.013266776629412223,2024-10-26 15:51:19.902095,2024-10-26 15:51:20.013161,0 days 00:00:00.111066,0.9884874576456538,0.04980264404430492,9,420,25,COMPLETE,0.4
12,0.013266776629412223,2024-10-26 15:51:20.013320,2024-10-26 15:51:20.120521,0 days 00:00:00.107201,0.9963525553683085,0.02488808444263171,7,417,26,COMPLETE,0.4
13,0.013266776629412223,2024-10-26 15:51:20.120672,2024-10-26 15:51:20.230474,0 days 00:00:00.109802,0.8235886070979297,0.047253792047297016,6,111,14,COMPLETE,0.4
14,0.013266776629412223,2024-10-26 15:51:20.230625,2024-10-26 15:51:20.337833,0 days 00:00:00.107208,0.8293313880177589,0.018955739475653176,12,433,21,COMPLETE,0.4
15,0.013266776629412223,2024-10-26 15:51:20.337988,2024-10-26 15:51:20.463235,0 days 00:00:00.125247,0.8449950448630228,0.06646428661863624,9,263,32,COMPLETE,0.4
16,0.013266776629412223,2024-10-26 15:51:20.463705,2024-10-26 15:51:20.573618,0 days 00:00:00.109913,0.1813001311975102,0.040124251346084994,5,318,1,COMPLETE,0.4
17,0.013266776629412223,2024-10-26 15:51:20.573771,2024-10-26 15:51:20.682229,0 days 00:00:00.108458,0.9050073790203391,0.015136163931200841,8,504,12,COMPLETE,0.4
18,0.013266776629412223,2024-10-26 15:51:20.682393,2024-10-26 15:51:20.792941,0 days 00:00:00.110548,0.7339990096765201,0.02313049509990928,11,167,21,COMPLETE,0.4
19,0.013266776629412223,2024-10-26 15:51:20.793091,2024-10-26 15:51:20.900345,0 days 00:00:00.107254,0.889983679843199,0.011310308372112105,13,331,33,COMPLETE,0.4
0,0.0034404708959423417,2024-10-26 15:51:21.003451,2024-10-26 15:51:27.444200,0 days 00:00:06.440749,0.9536272590525592,0.09767765562215694,15,735,7,COMPLETE,0.5
1,0.003325341793599606,2024-10-26 15:51:27.444350,2024-10-26 15:51:43.047958,0 days 00:00:15.603608,0.5910647516899671,0.016641392007732035,10,849,14,COMPLETE,0.5
2,0.003478850190527892,2024-10-26 15:51:43.048238,2024-10-26 15:51:53.754163,0 days 00:00:10.705925,0.7987257045802527,0.025769854943501154,16,854,14,COMPLETE,0.5
3,0.003480896932497574,2024-10-26 15:51:53.754360,2024-10-26 15:51:57.809098,0 days 00:00:04.054738,0.920026121060096,0.051842244127210065,15,160,35,COMPLETE,0.5
4,0.003332368028650239,2024-10-26 15:51:57.809259,2024-10-26 15:52:03.154892,0 days 00:00:05.345633,0.9963690984891502,0.05577623529952989,13,916,1,COMPLETE,0.5
5,0.00342603164228235,2024-10-26 15:52:03.155058,2024-10-26 15:52:13.551840,0 days 00:00:10.396782,0.29369711765015283,0.023989119882109708,19,400,20,COMPLETE,0.5
6,0.0035251538923149785,2024-10-26 15:52:13.552015,2024-10-26 15:52:21.691496,0 days 00:00:08.139481,0.766055132882964,0.04040227553007514,14,316,32,PRUNED,0.5
7,0.003365279482033543,2024-10-26 15:52:21.691623,2024-10-26 15:52:39.266285,0 days 00:00:17.574662,0.6996364879136313,0.03119923381757987,16,876,29,COMPLETE,0.5
8,0.0036611902240144983,2024-10-26 15:52:39.266443,2024-10-26 15:52:45.818473,0 days 00:00:06.552030,0.01142760376430385,0.013265118133280868,4,726,36,PRUNED,0.5
9,0.003572699595719514,2024-10-26 15:52:45.818783,2024-10-26 15:52:49.669296,0 days 00:00:03.850513,0.030357366720686896,0.07747778739752641,11,741,24,PRUNED,0.5
10,0.0033309057621973533,2024-10-26 15:52:49.669416,2024-10-26 15:53:02.473444,0 days 00:00:12.804028,0.4788294829461749,0.010564429578379506,7,507,13,COMPLETE,0.5
11,0.0034049489008032455,2024-10-26 15:53:02.473892,2024-10-26 15:53:14.701734,0 days 00:00:12.227842,0.4581034443532604,0.01251023715668025,8,496,13,PRUNED,0.5
12,0.0033368699244545916,2024-10-26 15:53:14.701981,2024-10-26 15:53:28.155603,0 days 00:00:13.453622,0.4837866374629101,0.010265536943719978,8,577,15,COMPLETE,0.5
13,0.0038438906391651847,2024-10-26 15:53:28.155761,2024-10-26 15:53:31.004250,0 days 00:00:02.848489,0.28533877089449367,0.018142958913326034,3,578,7,PRUNED,0.5
14,0.003403298815707233,2024-10-26 15:53:31.004450,2024-10-26 15:53:38.132061,0 days 00:00:07.127611,0.6335283699484919,0.017544902110763434,7,330,21,PRUNED,0.5
15,0.0034151994329149394,2024-10-26 15:53:38.132391,2024-10-26 15:53:53.781111,0 days 00:00:15.648720,0.36408297132141276,0.017887954251842322,10,643,8,PRUNED,0.5
16,0.003372454031648626,2024-10-26 15:53:53.781237,2024-10-26 15:54:09.092899,0 days 00:00:15.311662,0.6188773069438136,0.0103149670081096,6,963,1,PRUNED,0.5
17,0.003318166506187257,2024-10-26 15:54:09.093191,2024-10-26 15:54:20.616550,0 days 00:00:11.523359,0.17521360498654381,0.014545329268122345,10,452,18,COMPLETE,0.5
18,0.004081093706444904,2024-10-26 15:54:20.616761,2024-10-26 15:54:24.797910,0 days 00:00:04.181149,0.12952516100586955,0.014972084232314619,10,146,26,PRUNED,0.5
19,0.0034388505450874806,2024-10-26 15:54:24.798232,2024-10-26 15:54:31.568208,0 days 00:00:06.769976,0.1413727051595448,0.022750165473148787,12,265,18,PRUNED,0.5
0,0.0036785002344025776,2024-10-26 15:54:31.917303,2024-10-26 15:54:35.543138,0 days 00:00:03.625835,0.1431801348549363,0.01890151104389555,3,589,38,COMPLETE,0.6
1,0.003667280461013814,2024-10-26 15:54:35.543306,2024-10-26 15:54:37.267535,0 days 00:00:01.724229,0.9860389346665646,0.06895117019401094,3,451,38,COMPLETE,0.6
2,0.0034569253712837446,2024-10-26 15:54:37.267689,2024-10-26 15:54:47.306461,0 days 00:00:10.038772,0.42386291836368584,0.04216837779200188,15,635,23,COMPLETE,0.6
3,0.003384528467990377,2024-10-26 15:54:47.306865,2024-10-26 15:54:54.948974,0 days 00:00:07.642109,0.7798406002407385,0.03167665441141033,11,464,19,COMPLETE,0.6
4,0.0035293731772231807,2024-10-26 15:54:54.949131,2024-10-26 15:55:02.156327,0 days 00:00:07.207196,0.22672237968677011,0.01091217930474961,8,288,22,COMPLETE,0.6
5,0.004327007302443085,2024-10-26 15:55:02.156488,2024-10-26 15:55:05.375419,0 days 00:00:03.218931,0.8975357084393157,0.01895729241045583,19,110,21,PRUNED,0.6
6,0.0033062953386721193,2024-10-26 15:55:05.375542,2024-10-26 15:55:13.366054,0 days 00:00:07.990512,0.4259394567893472,0.06590784309352905,17,339,38,COMPLETE,0.6
7,0.0033678243465672616,2024-10-26 15:55:13.366412,2024-10-26 15:55:23.628791,0 days 00:00:10.262379,0.9906116393903982,0.018532073473849473,11,408,38,COMPLETE,0.6
8,0.00426977749199527,2024-10-26 15:55:23.628973,2024-10-26 15:55:27.281635,0 days 00:00:03.652662,0.24520187823300887,0.014092941383277376,20,152,26,PRUNED,0.6
9,0.0032940089102837266,2024-10-26 15:55:27.281748,2024-10-26 15:55:37.976532,0 days 00:00:10.694784,0.1744291431634123,0.020777982967596382,17,918,36,COMPLETE,0.6
10,0.003366462017610831,2024-10-26 15:55:37.976725,2024-10-26 15:55:44.503424,0 days 00:00:06.526699,0.0037047850397691207,0.033391940418558065,15,931,1,COMPLETE,0.6
11,0.0033004643454153672,2024-10-26 15:55:44.503581,2024-10-26 15:55:47.513746,0 days 00:00:03.010165,0.534408025750075,0.0941847787801252,16,993,30,COMPLETE,0.6
12,0.0032935386889626416,2024-10-26 15:55:47.513908,2024-10-26 15:55:56.843690,0 days 00:00:09.329782,0.607186018679459,0.09327664122220901,15,932,30,COMPLETE,0.6
13,0.0033226180742755617,2024-10-26 15:55:56.843842,2024-10-26 15:56:01.500840,0 days 00:00:04.656998,0.6283567593867038,0.05111965975879695,13,798,30,COMPLETE,0.6
14,0.0034014214804217167,2024-10-26 15:56:01.500994,2024-10-26 15:56:09.989063,0 days 00:00:08.488069,0.6980118922239343,0.02529734298132907,18,782,14,PRUNED,0.6
15,0.003338559608925139,2024-10-26 15:56:09.989190,2024-10-26 15:56:19.793441,0 days 00:00:09.804251,0.34866378721764185,0.08955080367567245,13,835,32,COMPLETE,0.6
16,0.0033240638337798723,2024-10-26 15:56:19.793770,2024-10-26 15:56:28.517827,0 days 00:00:08.724057,0.016743373662720634,0.026820171216786187,8,691,14,COMPLETE,0.6
17,0.003402559732005005,2024-10-26 15:56:28.518005,2024-10-26 15:56:37.525222,0 days 00:00:09.007217,0.5674319873325777,0.04419501853409201,13,896,32,PRUNED,0.6
18,0.0033115903757840078,2024-10-26 15:56:37.525345,2024-10-26 15:56:53.755595,0 days 00:00:16.230250,0.7553545932492675,0.010198590826063276,9,721,34,COMPLETE,0.6
19,0.0034817959828029156,2024-10-26 15:56:53.755753,2024-10-26 15:57:03.484503,0 days 00:00:09.728750,0.31249194539574643,0.022725894458263386,17,986,28,PRUNED,0.6
0,0.0030667297650990902,2024-10-26 15:57:03.881931,2024-10-26 15:57:06.937643,0 days 00:00:03.055712,0.9019871946610135,0.05901543381319508,5,493,35,COMPLETE,0.7
1,0.003087217015538437,2024-10-26 15:57:06.937961,2024-10-26 15:57:09.553621,0 days 00:00:02.615660,0.9388501969932933,0.09946705665502464,6,218,30,COMPLETE,0.7
2,0.0031143861505927416,2024-10-26 15:57:09.553775,2024-10-26 15:57:13.799517,0 days 00:00:04.245742,0.8287012008286256,0.08539638064455947,12,950,14,COMPLETE,0.7
3,0.0033637214232820484,2024-10-26 15:57:13.799674,2024-10-26 15:57:21.136561,0 days 00:00:07.336887,0.741988908460749,0.01210365025468832,9,334,23,COMPLETE,0.7
4,0.003263338002432729,2024-10-26 15:57:21.136734,2024-10-26 15:57:30.077706,0 days 00:00:08.940972,0.48302636945963573,0.05465561812868363,9,528,26,COMPLETE,0.7
5,0.003083706271821325,2024-10-26 15:57:30.077873,2024-10-26 15:57:40.236028,0 days 00:00:10.158155,0.9910763824436274,0.025587921637588915,11,723,21,COMPLETE,0.7
6,0.0031625653663090772,2024-10-26 15:57:40.236415,2024-10-26 15:57:43.958537,0 days 00:00:03.722122,0.302631417033178,0.03979492867572964,14,149,33,PRUNED,0.7
7,0.0029955428409364163,2024-10-26 15:57:43.958666,2024-10-26 15:57:54.598070,0 days 00:00:10.639404,0.4491435420902671,0.09975464440598414,19,922,16,COMPLETE,0.7
8,0.0031782434055891784,2024-10-26 15:57:54.598235,2024-10-26 15:58:02.336635,0 days 00:00:07.738400,0.9867766489511922,0.0697027791837807,7,677,27,PRUNED,0.7
9,0.003209876433645815,2024-10-26 15:58:02.336772,2024-10-26 15:58:12.529465,0 days 00:00:10.192693,0.31874040902388,0.03355317086787925,13,800,14,PRUNED,0.7
10,0.0028986276381621962,2024-10-26 15:58:12.529598,2024-10-26 15:58:27.871718,0 days 00:00:15.342120,0.0032699449641183653,0.01687559240325454,20,960,2,COMPLETE,0.7
11,0.0031225042784360866,2024-10-26 15:58:27.872060,2024-10-26 15:58:43.188660,0 days 00:00:15.316600,0.006868253980603201,0.01640580973659541,20,994,3,PRUNED,0.7
12,0.00302338847590252,2024-10-26 15:58:43.188785,2024-10-26 15:58:57.823579,0 days 00:00:14.634794,0.018517245466663446,0.021432749247985387,20,867,1,COMPLETE,0.7
13,0.0030153655605093406,2024-10-26 15:58:57.823736,2024-10-26 15:59:14.334318,0 days 00:00:16.510582,0.20651725009226585,0.012351888250076975,17,656,11,COMPLETE,0.7
14,0.003175009933621175,2024-10-26 15:59:14.334513,2024-10-26 15:59:28.066665,0 days 00:00:13.732152,0.5969928670079228,0.019591543538406954,16,840,9,PRUNED,0.7
15,0.003109466946059118,2024-10-26 15:59:28.066788,2024-10-26 15:59:37.550006,0 days 00:00:09.483218,0.5413131282109637,0.04225664350797614,17,933,39,PRUNED,0.7
16,0.0036066835409701297,2024-10-26 15:59:37.550133,2024-10-26 15:59:40.084836,0 days 00:00:02.534703,0.12125869655580891,0.015730377279301447,3,403,6,PRUNED,0.7
17,0.003076407097144191,2024-10-26 15:59:40.084956,2024-10-26 15:59:58.645635,0 days 00:00:18.560679,0.4097156129990306,0.010050850394803256,19,793,17,PRUNED,0.7
18,0.003003240580509571,2024-10-26 15:59:58.645781,2024-10-26 16:00:09.794788,0 days 00:00:11.149007,0.6474143898896877,0.024087009560169292,15,649,7,COMPLETE,0.7
19,0.003076833750155554,2024-10-26 16:00:09.794944,2024-10-26 16:00:17.762011,0 days 00:00:07.967067,0.23316051946760474,0.03274338483742031,18,908,15,PRUNED,0.7
0,0.0026875630059395275,2024-10-26 16:00:18.049113,2024-10-26 16:00:31.047234,0 days 00:00:12.998121,0.9444335291232001,0.041973508899784545,20,941,36,COMPLETE,0.8
1,0.002422514527815605,2024-10-26 16:00:31.047404,2024-10-26 16:00:34.625945,0 days 00:00:03.578541,0.3643566535560041,0.048053357619583854,4,436,1,COMPLETE,0.8
2,0.002487257725028075,2024-10-26 16:00:34.626112,2024-10-26 16:00:40.404982,0 days 00:00:05.778870,0.5523970421295499,0.04989537469146393,10,755,22,COMPLETE,0.8
3,0.0024799998873607345,2024-10-26 16:00:40.405134,2024-10-26 16:00:42.503127,0 days 00:00:02.097993,0.8034847646325972,0.08325777943412054,6,114,20,COMPLETE,0.8
4,0.0027328102365162727,2024-10-26 16:00:42.503294,2024-10-26 16:00:46.289592,0 days 00:00:03.786298,0.21404397985379242,0.05233409032578119,6,842,33,COMPLETE,0.8
5,0.0025531919129386945,2024-10-26 16:00:46.289755,2024-10-26 16:00:52.677713,0 days 00:00:06.387958,0.7989561421577862,0.02873812156696297,14,274,26,PRUNED,0.8
6,0.002581114869904517,2024-10-26 16:00:52.678031,2024-10-26 16:00:59.894379,0 days 00:00:07.216348,0.08305984669777178,0.04779660546673121,15,607,18,PRUNED,0.8
7,0.002519860878507984,2024-10-26 16:00:59.894494,2024-10-26 16:01:04.954251,0 days 00:00:05.059757,0.34780663728867844,0.029727268608200116,13,198,5,PRUNED,0.8
8,0.002631678168986098,2024-10-26 16:01:04.954365,2024-10-26 16:01:17.789782,0 days 00:00:12.835417,0.6482737418713568,0.03114876666673872,17,688,7,PRUNED,0.8
9,0.002581738464694393,2024-10-26 16:01:17.789926,2024-10-26 16:01:32.076812,0 days 00:00:14.286886,0.7525376473113926,0.016335563302096914,14,614,35,PRUNED,0.8
10,0.002788791773649529,2024-10-26 16:01:32.076935,2024-10-26 16:01:34.351501,0 days 00:00:02.274566,0.3892128485118809,0.011299202427286254,3,380,12,PRUNED,0.8
