number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,quantile
0,0.005636129631740771,2024-10-17 22:19:59.458371,2024-10-17 22:20:00.809425,0 days 00:00:01.351054,0.00014055133090652933,0.5799073802581608,0.03589102260422266,19,7,4.815724398987015,0.8956921897657487,111,129,0.7760115308676391,0.9274447789690019,0.86499058149178,4,COMPLETE,0.2
1,0.006258289823943929,2024-10-17 22:20:00.809669,2024-10-17 22:20:03.435285,0 days 00:00:02.625616,0.0001128550274115535,0.6664157035996277,0.02831773019085083,5,84,0.13324930229386583,0.8722775405335192,902,271,0.3517956558950145,0.9528395876289043,0.8468594259018764,1,COMPLETE,0.2
2,0.005361540056648829,2024-10-17 22:20:03.435515,2024-10-17 22:20:08.145061,0 days 00:00:04.709546,0.00037835738458489963,0.9585405396442175,0.05966794858431904,15,17,8.896495168655196,0.5625095466914365,895,236,0.3174157493812083,0.11433881116839384,0.9259949286077845,7,COMPLETE,0.2
3,0.005755622344605061,2024-10-17 22:20:08.145306,2024-10-17 22:20:09.968320,0 days 00:00:01.823014,0.0023236991619673916,0.917109874119384,0.07952942278061631,9,36,3.430926119833052,0.6795898747866176,447,253,0.09849461593887465,0.398615341797786,0.6782039412476021,10,COMPLETE,0.2
4,0.0059806354759515505,2024-10-17 22:20:09.968578,2024-10-17 22:20:10.562189,0 days 00:00:00.593611,0.9787382140005797,0.8486487085642311,0.02579726349318553,13,40,1.5001278180699484,0.28739383035407196,108,33,0.48850743997669277,0.8494301567867181,0.7242364664556464,8,COMPLETE,0.2
5,0.005685373742896241,2024-10-17 22:20:10.562425,2024-10-17 22:20:12.267728,0 days 00:00:01.705303,0.04951150889632618,0.6935574785589018,0.05456132772193399,15,78,3.5237843759636434,0.5756011151449312,240,158,0.2758501493471627,0.3573164808061774,0.7390839459953691,2,COMPLETE,0.2
6,0.006592214876389412,2024-10-17 22:20:12.268117,2024-10-17 22:20:13.298328,0 days 00:00:01.030211,0.05419672051986302,0.7571681269293722,0.024294862234789865,3,22,4.167166229484086,0.6927798453251194,666,165,0.760618996528183,0.9887157981475039,0.5864243692925415,10,COMPLETE,0.2
7,0.00515814230214604,2024-10-17 22:20:13.298571,2024-10-17 22:20:18.311389,0 days 00:00:05.012818,0.08559579127143395,0.8745051290617729,0.08282659695403345,10,95,3.1418526127957116,0.13101579013963527,976,33,0.07981554931805601,0.1447324271719136,0.5593084552982215,6,COMPLETE,0.2
8,0.006046886641256506,2024-10-17 22:20:18.311696,2024-10-17 22:20:19.596194,0 days 00:00:01.284498,0.6079972659480384,0.9523334985794931,0.010280716197233518,5,36,1.9004023679307234,0.15683860729808863,351,229,0.2194508945757725,0.14825115123640098,0.8857099463542103,5,COMPLETE,0.2
9,0.005384774753832934,2024-10-17 22:20:19.596436,2024-10-17 22:20:26.041711,0 days 00:00:06.445275,0.7256677838962238,0.711940928171452,0.01138855632474518,13,35,6.257328497763195,0.4012432419733991,354,180,0.292369381510311,0.24180763070878764,0.8121036916363737,2,COMPLETE,0.2
